Date;open;high;low;close;volume;
27/10/2024;670234794186223,00;682213147408775,00;66847223099558,00;67929298795622,00;16721307878.1;
26/10/2024;666287370038706,00;673179181596119,00;663605955044004,00;670146977283094,00;19588098156.32;
25/10/2024;681652973724389,00;687221594927425,00;655217934506881,00;666424107304263,00;41469984305.66;
24/10/2024;666537041571813,00;687989619867211,00;664540995567515,00;68161053337619,00;31414428647.2;
23/10/2024;673623744214737,00;67402744623551,00;651880352924195,00;664321982471759,00;32263980353.23;
22/10/2024;673607027255461,00;678015769977652,00;665813679788567,00;673614026645272,00;31808472565.82;
21/10/2024;690020001468977,00;694627367822244,00;668298534677336,00;673678525561409,00;37498611780.2;
20/10/2024;683641784603044,00;693590070607416,00;681057205055133,00;690017066212849,00;18975847518.28;
19/10/2024;684189766619904,00;686680058104846,00;680246382348537,00;683627331098485,00;14443497907.64;
18/10/2024;674191087252549,00;689697469240407,00;67177818198958,00;684187890489052,00;36857165014.36;
17/10/2024;676170795713375,00;679122076398065,00;66647391211274,00;673998334924398,00;32790898510.76;
16/10/2024;670424618218177,00;683752929488011,00;667587255092654,00;676127207776042,00;38195189533.82;
15/10/2024;660503687270292,00;678816795865567,00;648091969471504,00;670411071653338,00;48863870878.62;
14/10/2024;628483994880925,00;664824943857198,00;624421539998429,00;660461280687548,00;43706958055.79;
13/10/2024;631929435754787,00;632726529630129,00;620356366902561,00;628513749169602,00;18177529689.88;
12/10/2024;624446174061501,00;634487832440021,00;624432713529987,00;631930230702875,00;16744110885.86;
11/10/2024;602754608346571,00;634008698799473,00;60046125828387,00;624450886070974,00;30327141594.18;
10/10/2024;605819296868773,00;612367231707069,00;588952078078197,00;602744980637861,00;30452813570.16;
09/10/2024;621317261033116,00;625088357368894,00;603146143862386,00;605821009695389,00;27670982363.46;
08/10/2024;622216451487376,00;631743062001171,00;618435636611283,00;621319678544148,00;28134475156.91;
07/10/2024;628191093330048,00;644437064117964,00;621525517077403,00;622366593684009,00;34253562610.48;
06/10/2024;620849865006411,00;629595685406335,00;618331500428486,00;628189544761374,00;14776233666.91;
05/10/2024;620676104970553,00;623710236788776,00;616895811648998,00;620899484591443,00;13305410748.72;
